Year,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20
2024,donk (Team Spirit),m0NESY (G2 Esports),ZywOo (Team Vitality),NiKo (G2 Esports),jL (Natus Vincere),sh1ro (Team Spirit),flameZ (Team Vitality),broky (FaZe Clan),b1t (Natus Vincere),frozen (FaZe Clan),w0nderful (Natus Vincere),malbsMd (G2 Esports),Spinx (Team Vitality),xertioN (MOUZ),XANTARES (Eternal Fire),iM (Natus Vincere),Jimpphat (MOUZ),ropz (FaZe Clan),EliGE (Complexity Gaming),torzsi (MOUZ)
2023,ZywOo (Team Vitality),NiKo (G2 Esports),ropz (FaZe Clan),m0NESY (G2 Esports),Spinx (Team Vitality),⁠SunPayus⁠ (ENCE),⁠s1mple (Natus Vincere),⁠sh1ro (Cloud9),stavn (Astralis),broky (FaZe Clan),dev1ce (Astralis),frozen (FaZe Clan),huNter- (G2 Esports),⁠NertZ⁠ (ENCE),⁠jabbi⁠ (Astralis),blameF (Astralis),Magisk (Team Vitality),cadiaN (Heroic),KSCERATO (FURIA Esports),Twistzz (FaZe Clan)
2022,⁠s1mple (Natus Vincere),⁠ZywOo⁠ (Team Vitality),⁠sh1ro (Cloud9),Ax1Le (Cloud9),NiKo (G2 Esports),broky (FaZe Clan),m0NESY (G2 Esports),ropz (FaZe Clan),KSCERATO (FURIA Esports),stavn (Heroic),Twistzz (FaZe Clan),blameF (Astralis),rain (FaZe Clan),huNter- (G2 Esports),YEKINDAR (Team Liquid),b1t (Natus Vincere),frozen (MOUZ),Spinx (Team Vitality),yuurih (FURIA Esports),Jame (Outsiders)
2021,s1mple (Natus Vincere),ZywOo (Team Vitality),NiKo (G2 Esports),sh1ro (Gambit Esports),Ax1Le (Gambit Esports),HObbit (Gambit Esports),electroNic (Natus Vincere),YEKINDAR (Virtus.pro),b1t (Natus Vincere),Jame (Virtus.pro),dev1ce (Ninjas in Pyjamas),huNter- (G2 Esports),blameF (Astralis),NAF (Team Liquid),KSCERATO (FURIA Esports),stavn (Heroic),Twistzz (FaZe Clan),ropz (MOUZ),EliGE (Team Liquid),broky (FaZe Clan)
2020,ZywOo (Team Vitality),s1mple (Natus Vincere),dev1ce (Astralis),NiKo (G2 Esports),electronic (Natus Vincere),blameF (Complexity Gaming),ropz (mousesports),EliGE (Team Liquid),dupreeh (Astralis),⁠syrsoN⁠ (BIG),Magisk (Astralis),stavn (Heroic),huNter- (G2 Esports),yuurih (FURIA Esports),Brollan (Fnatic),HEN1 (FURIA Esports),KRIMZ (Fnatic),KSCERATO (FURIA Esports),jks (Complexity Gaming),Brehze (Evil Geniuses)
2019,ZywOo (Team Vitality),s1mple (Natus Vincere),dev1ce (Astralis),EliGE (Team Liquid),Magisk (Astralis),electronic (Natus Vincere),NAF (Team Liquid),Brehze (Evil Geniuses),Twistzz (Team Liquid),ropz (mousesports),NiKo (FaZe Clan),woxic (mousesports),sergej (ENCE),Xyp9x (Astralis),jks (100 Thieves),dupreeh (Astralis),KRIMZ (Fnatic),CeRq (Evil Geniuses),Brollan (Fnatic),Ethan (Evil Geniuses)
2018,s1mple (Natus Vincere),dev1ce (Astralis),NiKo (FaZe Clan),electronic (Natus Vincere),dupreeh (Astralis),NAF (Team Liquid),Magisk (Astralis),gla1ve (Astralis),KRIMZ (Fnatic),coldzera (MIBR),GuardiaN (FaZe Clan),Twistzz (Team Liquid),Xyp9x (Astralis),oskar (mousesports),EliGE (Team Liquid),suNny (mousesports),autimatic (Cloud9),rain (FaZe Clan),ropz (mousesports),valde (North)
2017,coldzera (SK Gaming),NiKo (FaZe Clan),fer (SK Gaming),rain (FaZe Clan),dev1ce (Astralis),FalleN (SK Gaming),kennyS (G2 Esports),s1mple (Natus Vincere),GuardiaN (FaZe Clan),dupreeh (Astralis),HObbit (Gambit Esports),EliGE (Team Liquid),Xyp9x (Astralis),k0nfig (North),Kjaerbye (Astralis),oskar (mousesports),AdreN (Gambit Esports),boltz (SK Gaming),olofmeister (FaZe Clan),Snax (Virtus.pro)
2016,coldzera (SK Gaming),FalleN (SK Gaming),dev1ce (Astralis),s1mple (Natus Vincere),Snax (Virtus.pro),shox (G2 Esports),f0rest (Ninjas in Pyjamas),olofmeister (Fnatic),ScreaM (G2 Esports),flusha (GODSENT),NiKo (mousesports),flamie (Natus Vincere),kennyS (Team EnVyUs),Magisk (Team Dignitas),fer (SK Gaming),Kjaerbye (Astralis),GuardiaN (Natus Vincere),GeT_RiGhT (Ninjas in Pyjamas),fnx (SK Gaming),dennis (Fnatic)
2015,olofmeister (Fnatic),GuardiaN (Natus Vincere),dev1ce (?),Snax (Virtus.pro),flusha (Fnatic),kennyS (Titan),KRIMZ (Fnatic),Happy (Team EnVyUs),NBK- (Team EnVyUs),JW (Fnatic),GeT_RiGhT (Ninjas in Pyjamas),dupreeh (?),shox (Titan),flamie (Natus Vincere),cajunb (?),f0rest (Ninjas in Pyjamas),NEO (Virtus.pro),apEX (Titan),allu (mousesports),Skadoodle (Cloud9)
2014,GeT_RiGhT (Ninjas in Pyjamas),flusha (Fnatic),pashaBiceps (Virtus.pro),Snax (Virtus.pro),JW (Fnatic),kennyS (Titan),f0rest (Ninjas in Pyjamas),shox (Team LDLC.com),KRIMZ (Fnatic),Happy (Team LDLC.com),GuardiaN (Natus Vincere),olofmeister (Fnatic),byali (Virtus.pro),friberg (Ninjas in Pyjamas),apEX (Titan),dupreeh (Team Dignitas),NBK (Team LDLC.com),swag (Team iBUYPOWER),kioShiMa (Team LDLC.com),dev1ce (Team Dignitas)
2013,GeT_RiGhT (Ninjas in Pyjamas),f0rest (Ninjas in Pyjamas),shox (VeryGames),Dosia (Astana Dragons),NBK (VeryGames),Xizt (Ninjas in Pyjamas),ScreaM (VeryGames),JW (SY_b),Hiko (compLexity Gaming),GuardiaN (Natus Vincere),friberg (Ninjas in Pyjamas),kennyS (Recursive eSports),flusha (Fnatic),Nico (Copenhagen Wolves),markeloff (Astana Dragons),Edward (Natus Vincere),SmithZz (VeryGames),dupreeh (über G33KZ),pashaBiceps (AGAiN),Xyp9x (über G33KZ)
2011,NEO (ESC Gaming),GeT_RiGhT (SK Gaming),markeloff (Natus Vincere),trace (mTw),f0rest (SK Gaming),TaZ (ESC Gaming),Friis (Fnatic),karrigan (mousesports),Delpan (SK Gaming),Gux (Fnatic),kalle (ESC Gaming),ed1k (Moscow Five),Xizt (Fnatic),face (SK Gaming),Edward (Natus Vincere),MODDII (ESC Gaming),aslak (Team WinFakt),pashaBiceps (ESC Gaming),Dosia (Moscow Five),starix (Natus Vincere)
2010,markeloff (Natus Vincere),GeT_RiGhT (SK Gaming),trace (mTw),starix (Natus Vincere),Edward (Natus Vincere),f0rest (SK Gaming),NEO (Frag eXecutors),zonic (mTw),MODDII (SK Gaming),Delpan (Fnatic),n0thing (Evil Geniuses),Gux (Lions eSportsKlubb),sixeR (eSahara),fRoD (Evil Geniuses),roman (mousesports),face (SK Gaming),peri (WeMade FOX),Xizt (Fnatic),Zeus (Natus Vincere),dsn (Fnatic)
